time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.1869474626337467e-07,-9.815912416705483e-08,10.00987069055493,6.282888740807785,6.2829369891064175,0.0,1.8591743522691114e-05,-2.0024272597649155e-05,0.3289864901085326,-0.017332304617731574,-0.014064993286171595,0.0,503.60926460698386,502.591153458998,506.2296148844286,504.98120260524763
0.12000000000000001,9.1994049397781e-06,-1.3315621793262573e-05,10.036448059787027,6.281490675806552,6.2831640561350195,0.0,0.00030514742760926275,-0.0005631095317423225,0.5568421271036178,-0.039234342206834354,0.0260645209293615,0.0,474.93329595491883,478.00077230458135,476.1423632517107,474.4640033579435
0.18,1.907407053444241e-05,-9.74691554256301e-05,10.076097563503522,6.279542941854656,0.0026676455998311255,0.0,-0.0002439399242518678,-0.0024924326080559894,0.7646909998660588,-0.021531866275490315,0.06779594725266017,0.0,468.42499347349144,471.6594195583904,469.72488991856017,471.0951015065109
0.23999999999999996,-6.104850882149499e-05,-0.0003212579195353432,10.12348755825281,6.278424215868386,0.006476608230516767,0.0,-0.002801135198314734,-0.005080603325630754,0.8149387297428541,-0.01342118604365121,0.053048478407697705,0.0,421.5298983159732,420.25685661699333,421.623519718713,422.32360312108403
0.3,-0.00036217924095193567,-0.0007185541048212955,10.17354052828478,6.277465382112279,0.009795984735143648,0.0,-0.007538724952819937,-0.008243872969317691,0.8534626422684602,-0.02166540062890017,0.059521011749985225,0.0,417.8451360048996,418.4112061647408,417.5097343843655,416.7899851218671
0.36000000000000004,-0.0010521753569045366,-0.0013479689584644924,10.229702134834486,6.276164486444824,0.014155109094720508,0.0,-0.015911456558684638,-0.012880958574561226,1.0184521779541424,-0.021713998739054313,0.09076715214598682,0.0,456.0126643543725,458.5051670011633,458.4005617296525,458.3967070593526
0.4200000000000001,-0.00232833642407823,-0.002274771315117657,10.294340830768265,6.274541275083809,0.019743840688610348,0.0,-0.027203142755107712,-0.018161470724171406,1.1360506268270072,-0.04075045209258519,0.09751905514372308,0.0,443.80340694224907,444.36450047170837,443.77403394050106,442.20862931333727
0.48000000000000015,-0.004422828164571652,-0.0035657380287570173,10.367041169015456,6.271535260580885,0.02524987911133092,0.0,-0.0432360995902956,-0.025149571465407902,1.28711922385316,-0.08540401941982144,0.0766414620604354,0.0,455.3242852904038,453.65787433794037,455.63915972947484,452.0533783891485
0.5400000000000001,-0.007720882627799933,-0.005412678057773761,10.45356812592174,6.2672984556618,0.029892474427817284,0.0,-0.06730383275542084,-0.03701948267737983,1.5967077113206947,-0.050941972434801815,0.07880691559730217,0.0,500.52964477744854,500.6912139005277,499.5539290153188,502.05663228994837
0.6000000000000002,-0.012317827430412428,-0.007932515408427956,10.549861367070324,6.264180716625095,0.034677608273226745,0.0,-0.08635340108441467,-0.04725106959143109,1.6130246281631893,-0.05408451561232797,0.08157773146956084,0.0,412.92893224110355,413.1789042627556,411.5112972930077,411.23105992211714
0.6600000000000003,-0.01821759973975757,-0.011163297919170987,10.64916687584065,6.260536851918163,0.039268655392463714,0.0,-0.11077671153035555,-0.06077682147418087,1.697011842170785,-0.0793256450745875,0.06375748004586633,0.0,435.4848465183675,433.996479631342,435.4331786323886,433.3136359118199
0.7200000000000003,-0.025673195053369357,-0.01528510114974456,10.753520947442658,6.255788110282385,0.042498144928935666,0.0,-0.13811501094650774,-0.07708706453608923,1.781299946981853,-0.07878841712644916,0.008819594373237375,0.0,437.10919384306555,432.50852369501575,435.12850963506116,435.168314860082
0.7800000000000004,-0.03497557915767011,-0.020583883593935853,10.866554956502572,6.250749254478919,0.042775369999835,0.0,-0.17200018577517126,-0.10009994999978147,1.9861448457719273,-0.09717511287218993,-0.00548327696659543,0.0,473.31343694679157,472.2114065323814,472.59531259395703,471.1705785595069
0.8400000000000004,-0.04607227003770917,-0.027198192460365728,10.986207009684085,6.2445423862408305,0.04294110981660726,0.0,-0.19788510614553131,-0.12091112431869566,2.0022069529002575,-0.12052248370164348,0.01556307895615697,0.0,413.1279991413503,414.97946668881025,414.41693882936477,412.34911831626783
0.9000000000000005,-0.05894932559217618,-0.0353821609524303,11.111923475000497,6.2367686452737665,0.043763450348553334,0.0,-0.2314374975433771,-0.15271803543054155,2.187959841095144,-0.16183320194960996,0.00970499043552514,0.0,468.36269437980377,467.9067656447021,468.55569713280255,465.3173319518359
0.9600000000000005,-0.0735039214920455,-0.045278235190910794,11.240732526274543,6.227150437090826,0.044009402404681985,0.0,-0.25375741557489817,-0.1778836055843535,2.105788140906299,-0.1574109471916144,-0.010522673429075969,0.0,381.7588256244868,379.82384332248824,379.48877417924643,379.88378570170215
1.0200000000000005,-0.08997393198113446,-0.05758658298648003,11.377688079320878,6.2173945876681245,0.04324060351709491,0.0,-0.2951168259182167,-0.23368864651237395,2.4586205261776835,-0.17575961300737553,-0.017840834582375308,0.0,515.951656093472,515.4348989320671,516.1429145398637,514.8249070318224
1.0800000000000005,-0.10863982992684228,-0.07311179966014793,11.52972199026287,6.206273051753751,0.042301366731714474,0.0,-0.3269573229431929,-0.2849602690266376,2.6087570618079092,-0.2234954236442385,-0.011604462881918657,0.0,458.6360594990477,459.13119876777034,461.1432974765364,457.3222749507556
1.1400000000000006,-0.1291936509491643,-0.0919655970142476,11.690665431286533,6.193262782158813,0.04137033397109047,0.0,-0.358069943309804,-0.34490744867675466,2.755551375206702,-0.20607346756789283,-0.02479142452724332,0.0,458.89050385879415,457.84263146389156,458.88788612016776,460.2236494331444
